날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-01,156,-0.3,-4.9,5.7
2020-01-02,156,2.6,-2.6,8.4
2020-01-03,156,3.8,0.2,8.7
2020-01-04,156,3.4,-1.6,9.2
2020-01-05,156,4.9,-1.7,11.2
2020-01-06,156,7.1,4.7,8.8
2020-01-07,156,13.1,8.7,17.7
2020-01-08,156,5,4.1,10.3
2020-01-09,156,3.2,0.2,6.3
2020-01-10,156,2.8,-1.4,10.2
2020-01-11,156,3.6,-0.1,8.5
2020-01-12,156,3.4,2.2,5.4
2020-01-13,156,2.3,-0.5,5.5
2020-01-14,156,2,-0.3,6.5
2020-01-15,156,0.9,-2.2,5.2
2020-01-16,156,2.3,-1.1,7.8
2020-01-17,156,2.6,0.2,7.6
2020-01-18,156,2.2,-1.7,7.8
2020-01-19,156,3,0,7.2
2020-01-20,156,4,1.2,7.9
2020-01-21,156,3.6,-2.2,10.7
2020-01-22,156,5.4,3.1,6.7
2020-01-23,156,7.5,5.3,12.3
2020-01-24,156,7.1,2.5,12.7
2020-01-25,156,7.4,4.1,10.9
2020-01-26,156,8.2,3.8,11.7
2020-01-27,156,6,4.1,8.9
2020-01-28,156,7.3,3.7,13
2020-01-29,156,6.6,5.4,8.8
2020-01-30,156,5.9,3.7,10.1
2020-01-31,156,4.3,1.6,8.5
2020-02-01,156,3.9,-1,9
2020-02-02,156,4,0.6,9.3
2020-02-03,156,2,-1.3,6.6
2020-02-04,156,2.1,-3.2,8.2
2020-02-05,156,-1.7,-5.6,2
2020-02-06,156,-2.2,-7,3.2
2020-02-07,156,1.1,-3.8,5.6
2020-02-08,156,3,0.3,6.7
2020-02-09,156,2.5,-1,7.8
2020-02-10,156,5.6,-0.2,13.2
2020-02-11,156,7.8,-0.3,14.2
2020-02-12,156,9.9,8.1,12
2020-02-13,156,8.4,6,11.5
2020-02-14,156,11.3,4.6,19.8
2020-02-15,156,10.8,6.9,18.5
2020-02-16,156,1.3,-1.2,7.7
2020-02-17,156,-2,-3.7,0.3
2020-02-18,156,0.5,-3.2,4.7
2020-02-19,156,3.7,-2.9,11
2020-02-20,156,7.6,1.2,14.3
2020-02-21,156,9.3,1.8,17
2020-02-22,156,7.2,3.3,11.4
2020-02-23,156,5,0.6,11.2
2020-02-24,156,8.3,0.1,16.3
2020-02-25,156,12.4,9.7,14.6
2020-02-26,156,8.8,3.7,14.9
2020-02-27,156,7.2,1.4,13.9
2020-02-28,156,6.9,5.1,8.6
2020-02-29,156,9.3,5.3,15.2
2020-03-01,156,6.9,3.8,12.6
2020-03-02,156,6,3,10.2
2020-03-03,156,7.8,1.9,14.7
2020-03-04,156,4.9,0.2,9
2020-03-05,156,3.7,0,9.5
2020-03-06,156,5.7,-2.2,14.4
2020-03-07,156,5.7,3.4,7.5
2020-03-08,156,9.6,3.1,18
2020-03-09,156,9.4,5.1,13.9
2020-03-10,156,6.7,4.2,9.8
2020-03-11,156,5.6,2.7,9.7
2020-03-12,156,7.5,-0.6,17
2020-03-13,156,8,3.9,14.4
2020-03-14,156,5.9,0.3,10.9
2020-03-15,156,7,2.6,13
2020-03-16,156,5.4,0.2,12.5
2020-03-17,156,9.2,1.6,18.1
2020-03-18,156,12.5,6,20.6
2020-03-19,156,10.3,6.6,14.3
2020-03-20,156,10.6,5.4,16.9
2020-03-21,156,14.2,6.4,23.3
2020-03-22,156,14.6,8.9,21.9
2020-03-23,156,10.8,5.5,18.6
2020-03-24,156,11.4,4.7,20
2020-03-25,156,14.2,6.2,21.6
2020-03-26,156,13.7,10.6,16.8
2020-03-27,156,10.5,5.1,15.4
2020-03-28,156,7.3,4.8,10.9
2020-03-29,156,9,2.1,16.9
2020-03-30,156,11.9,8,18.8
2020-03-31,156,12.8,5.8,21
2020-04-01,156,10.7,6.6,17.7
2020-04-02,156,10.6,4.8,18.5
2020-04-03,156,10.9,3.9,18.4
2020-04-04,156,8.9,4.4,17.3
2020-04-05,156,7.8,2.9,14.8
2020-04-06,156,9.6,1.6,17.9
2020-04-07,156,12.1,6,20
2020-04-08,156,11.1,7.1,16.7
2020-04-09,156,9.8,4.6,16.1
